City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Nuuk,20,GL,1595085584,39,64.18,-51.72,62.6,3.36
Laas,20,IT,1595085881,42,46.62,10.7,73.0,8.05
Vao,16,NC,1595085882,71,-22.67,167.48,69.66,14.25
Dublin,1,US,1595085760,82,37.7,-121.94,66.0,3.36
Churapcha,52,RU,1595085594,95,62.0,132.43,67.19,7.52
Ilhabela,0,BR,1595085883,70,-23.78,-45.36,73.17,6.04
Bakchar,0,RU,1595085596,71,57.02,82.07,63.82,3.27
Maceió,75,BR,1595085884,61,-9.67,-35.74,80.6,14.99
Lingao,88,CN,1595085884,70,19.91,109.69,85.48,3.31
Ponta Delgada,40,PT,1595085778,64,37.73,-25.67,75.2,13.87
Pacific Grove,51,US,1595085885,93,36.62,-121.92,57.99,1.81
Buluang,100,PH,1595085886,84,13.31,123.34,78.37,3.47
Lida,18,BY,1595085595,58,53.88,25.3,74.62,6.26
Tadine,0,NC,1595085887,64,-21.55,167.88,66.02,4.05
Pachperwa,57,IN,1595085888,68,27.52,82.65,88.38,6.85
Leh,25,IN,1595085888,30,34.17,77.58,67.93,7.29
Lugau,16,DE,1595085889,49,50.73,12.75,73.99,5.97
Bristol,1,US,1595085889,55,41.83,-71.17,88.0,3.36
Alassio,40,IT,1595085890,73,44.0,8.17,77.0,5.82
Salmās,20,IR,1595085890,25,38.2,44.77,89.6,4.7
Santa Maria,0,BR,1595085891,63,-29.68,-53.81,78.21,9.37
Aksu,95,CN,1595085891,38,41.12,80.26,76.91,5.66
Vila Velha,75,BR,1595085891,64,-20.33,-40.29,75.99,10.29
Alyangula,75,AU,1595085892,93,-13.85,136.42,60.8,6.69
Klaksvík,97,FO,1595085892,100,62.23,-6.59,50.0,14.99
Nantucket,20,US,1595085893,83,41.28,-70.1,75.2,4.7
Panzhihua,100,CN,1595085893,91,26.59,101.71,66.99,2.59
Padang,40,ID,1595085862,88,-0.95,100.35,77.0,8.05
Doha,0,QA,1595085895,50,25.29,51.53,100.0,5.82
Eldoret,100,KE,1595085895,90,0.52,35.27,58.26,5.26
Inuvik,90,CA,1595085896,93,68.35,-133.72,42.8,9.17
Cam Ranh,20,VN,1595085897,79,11.92,109.16,84.2,3.36
Oxford,94,GB,1595085897,53,51.75,-1.26,73.4,8.05
Beringovskiy,70,RU,1595085898,90,63.05,179.32,49.8,4.99
Whitehorse,75,CA,1595085898,71,60.72,-135.05,51.8,9.17
Katsuura,100,JP,1595085898,93,35.13,140.3,72.0,17.98
Cerrito,40,CO,1595085899,65,6.84,-72.69,80.6,3.36
Viedma,6,AR,1595085899,43,-40.81,-63.0,59.14,16.53
Mayo,1,US,1595085656,55,38.89,-76.51,88.0,6.87
Nemuro,32,JP,1595085900,96,43.32,145.57,57.97,9.6
Kavieng,100,PG,1595085901,75,-2.57,150.8,82.06,11.5
Mackay,90,AU,1595085901,93,-21.15,149.2,53.6,4.7
Kandrian,100,PG,1595085901,91,-6.22,149.55,76.24,8.3
Brae,74,GB,1595085903,76,60.4,-1.35,57.2,14.99
King City,0,US,1595085874,77,36.21,-121.13,64.0,1.61
Srīsailain,71,IN,1595085622,79,16.08,78.87,79.54,3.74
Kaura Namoda,100,NG,1595085904,58,12.59,6.58,84.09,8.37
Krasne,75,UA,1595085904,88,49.91,24.61,69.8,6.71
Kiama,100,AU,1595085905,76,-34.68,150.87,54.0,1.99
Moanda,40,GA,1595085906,74,-1.56,13.22,78.8,4.7
Bandarbeyla,84,SO,1595085909,48,9.49,50.81,85.33,28.77
Bogalusa,1,US,1595085909,66,30.79,-89.85,89.01,5.82
Liku,6,ID,1595085910,85,-0.73,119.89,75.36,1.77
Phan Thiet,61,VN,1595085910,81,10.93,108.1,79.92,0.94
Road Town,20,VG,1595085911,70,18.42,-64.62,86.0,8.05
Aksarka,100,RU,1595085911,88,66.56,67.8,54.63,10.27
Kupang,53,ID,1595085646,74,-10.17,123.58,72.68,5.95
Yiyang,98,CN,1595085912,96,28.59,112.33,75.58,9.19
Poya,6,NC,1595085912,73,-21.35,165.15,63.14,3.04
Marrakesh,20,MA,1595085913,12,31.63,-8.01,105.8,8.05
Los Llanos de Aridane,58,ES,1595085913,78,28.66,-17.92,77.0,12.75
Fukuechō,100,JP,1595085914,88,32.69,128.84,75.34,6.69
Galle,95,LK,1595085874,82,6.04,80.22,81.68,12.86
Pangnirtung,90,CA,1595085915,81,66.15,-65.71,46.4,6.93
Vilyuysk,16,RU,1595085916,86,63.76,121.62,56.34,4.79
Shimoda,100,JP,1595085771,96,34.67,138.95,66.99,8.61
North Bend,1,US,1595085917,87,43.41,-124.22,57.2,6.93
Joshīmath,100,IN,1595085917,62,30.57,79.57,70.25,1.07
Emba,84,KZ,1595085917,16,48.83,58.14,95.99,8.32
Bourail,4,NC,1595085918,74,-21.57,165.48,62.35,3.13
Sinnamary,1,GF,1595085918,68,5.38,-52.95,84.78,8.59
Yar-Sale,100,RU,1595085919,92,66.83,70.83,52.34,13.91
Halifax,75,CA,1595085919,88,44.65,-63.57,75.0,6.93
Tim,40,RU,1595085920,49,51.62,37.12,73.4,13.42
Vanavara,84,RU,1595085920,93,60.34,102.28,47.75,5.64
Deputatsky,98,RU,1595085920,71,69.3,139.9,44.82,7.61
Aranos,0,NA,1595085921,18,-24.13,19.12,72.39,12.59
Kalmunai,100,LK,1595085921,79,7.42,81.82,82.94,8.84
Shache,48,CN,1595085922,37,38.42,77.24,78.12,6.71
Mareeba,1,AU,1595085922,91,-17.0,145.43,57.99,1.99
Lupiro,81,TZ,1595085924,46,-8.38,36.67,76.98,1.79
Pensacola,1,US,1595085657,66,30.42,-87.22,91.0,5.82
Tetiz,75,MX,1595085925,66,20.97,-89.93,88.0,4.7
Lokosovo,31,RU,1595085925,78,61.13,74.82,73.13,5.19
Suchedniów,67,PL,1595085925,1,51.05,20.83,73.0,11.27
Mongar,98,BT,1595085926,96,27.27,91.24,63.75,1.01
Zyryanka,0,RU,1595085927,74,65.75,150.85,47.86,4.45
Arzgir,0,RU,1595085928,30,45.37,44.22,92.17,6.06
Margate,99,GB,1595085929,50,51.38,1.39,81.0,1.99
Micheweni,87,TZ,1595085929,65,-4.97,39.83,77.18,19.8
Lompoc,90,US,1595085908,93,34.64,-120.46,57.2,3.36
Alofi,59,NU,1595085930,83,-19.06,-169.92,73.4,6.93
Black River,40,JM,1595085930,74,18.03,-77.85,86.0,13.87
Skjervøy,17,NO,1595085931,76,70.03,20.97,54.68,4.79
Puerto del Rosario,0,ES,1595085867,78,28.5,-13.86,78.8,11.41
Volchikha,8,RU,1595085932,58,52.03,80.38,68.61,9.44
Pánuco,40,MX,1595085923,79,22.05,-98.17,86.0,4.7
Xining,15,CN,1595085932,76,36.62,101.77,51.64,1.19
Oriximiná,100,BR,1595085863,51,-1.77,-55.87,89.29,8.08
Cavalcante,0,BR,1595085933,39,-13.8,-47.46,78.37,11.72
Bhisho,0,ZA,1595085934,29,-32.85,27.44,75.2,4.7
Taseyevo,89,RU,1595085934,63,57.22,94.9,58.1,3.13
Makīnsk,47,KZ,1595085935,57,52.63,70.42,79.02,8.79
Piopio,98,NZ,1595085935,87,-38.47,175.02,54.0,4.29
Dabeiba,42,CO,1595085936,54,7.0,-76.27,86.16,3.02
Cornwall,1,CA,1595085936,54,45.02,-74.73,82.4,9.17
Salamiyah,0,SY,1595085936,20,35.01,37.05,91.87,17.13
Presidencia Roque Sáenz Peña,0,AR,1595085937,30,-26.79,-60.44,86.67,15.77
Haverfordwest,100,GB,1595085937,93,51.8,-4.97,61.0,21.92
Yamada,98,JP,1595085938,93,39.47,141.95,67.59,2.55
Breytovo,22,RU,1595085938,68,58.3,37.86,67.06,8.05
Ayan,84,RU,1595085939,97,56.45,138.17,53.51,2.01
Nishihara,40,JP,1595085888,83,26.18,127.76,80.6,8.05
Port Hedland,99,AU,1595085939,63,-20.32,118.57,66.2,16.11
Gannan,100,CN,1595085940,90,47.91,123.5,66.54,2.1
Kunmadaras,75,HU,1595085941,64,47.43,20.8,71.01,4.7
Turukhansk,6,RU,1595085941,74,65.82,87.98,52.68,5.82
Las Vigas de Ramírez,28,MX,1595085942,59,19.63,-97.08,60.37,3.58
Pemangkat,99,ID,1595085790,87,1.17,108.97,77.09,2.42
Shingū,100,JP,1595085943,86,33.73,135.98,71.19,5.79
Isla Mujeres,75,MX,1595085943,70,21.23,-86.73,87.8,6.93
Qian’an,100,CN,1595085943,56,44.99,124.06,75.29,4.97
Rocha,100,UY,1595085945,91,-34.48,-54.33,63.81,6.98
São Gabriel da Cachoeira,51,BR,1595085904,69,-0.13,-67.09,84.97,2.71
Sistranda,75,NO,1595085946,77,63.73,8.83,66.2,9.17
Zhigansk,56,RU,1595085946,92,66.77,123.37,53.4,3.89
Mehamn,100,NO,1595085947,79,71.04,27.85,52.45,10.51
Wanning,91,CN,1595085948,84,18.8,110.4,81.9,10.45
Manta,75,EC,1595085948,83,-0.95,-80.73,75.2,4.7
Olafsvik,97,IS,1595085949,75,64.89,-23.71,49.57,19.15
Coquimbo,100,CL,1595085786,71,-29.95,-71.34,55.4,6.93
Rio Verde de Mato Grosso,0,BR,1595085950,25,-18.92,-54.84,88.21,12.8
Safi,15,MA,1595085951,65,32.3,-9.24,78.17,16.8
Batagay-Alyta,100,RU,1595085951,93,67.8,130.41,54.01,2.17
Batagay,100,RU,1595085727,35,67.63,134.63,69.06,7.05
Phalaborwa,0,ZA,1595085953,31,-23.94,31.14,73.4,3.36
Grindavik,75,IS,1595085953,66,63.84,-22.43,51.8,33.33
Vila Franca do Campo,40,PT,1595085954,64,37.72,-25.43,75.2,13.87
Tiarei,84,PF,1595085954,88,-17.53,-149.33,73.0,11.99
Kozhva,35,RU,1595085955,73,65.11,57.05,69.84,5.7
Yumen,0,CN,1595085955,18,40.28,97.2,74.57,9.35
Yangi Marg`ilon,100,UZ,1595085956,23,40.43,71.72,86.0,11.41
Nirmal,67,IN,1595085956,81,19.1,78.35,80.62,5.23
São Sebastião,0,BR,1595085857,66,-23.76,-45.41,74.57,4.54
Mapiri,51,BO,1595085957,51,-15.25,-68.17,82.27,0.76
Maturin,20,VE,1595085957,69,9.75,-63.18,84.92,5.08
Dalhousie,9,IN,1595085958,82,32.53,75.98,70.9,3.44
Katherine,0,AU,1595085958,41,-14.47,132.27,59.0,5.82
Nouakchott,0,MR,1595085959,58,18.09,-15.98,86.0,14.99
Mount Gambier,41,AU,1595085669,100,-37.83,140.77,46.4,10.29
Uvat,0,RU,1595085960,55,59.14,68.9,80.51,5.3
Gusau,100,NG,1595085960,69,12.16,6.66,80.37,7.43
Ust-Maya,69,RU,1595085960,91,60.42,134.53,69.12,3.42
Manjo,62,CM,1595085961,85,4.84,9.82,76.69,3.85
Acapulco de Juárez,5,MX,1595085961,70,16.86,-99.89,86.0,2.24
Kasongo-Lunda,0,CD,1595085962,17,-6.47,16.82,92.8,4.29
Rantepao,99,ID,1595085962,89,-2.97,119.9,67.32,0.96
Lubango,0,AO,1595085963,20,-14.92,13.49,69.8,9.17
Grand Forks,40,US,1595085779,73,47.93,-97.03,75.2,8.05
South Shields,20,GB,1595085964,48,55.0,-1.43,69.01,13.87
Almuñécar,0,ES,1595085964,72,36.73,-3.69,80.01,5.99
Fairlie,75,GB,1595085964,62,55.76,-4.86,62.01,13.87
Tisul',0,RU,1595085965,78,55.76,88.31,56.25,4.38
San Andrés,40,CO,1595085965,70,12.58,-81.7,87.8,13.87
Emirdağ,82,TR,1595085966,32,39.02,31.15,84.49,4.38
Ashington,20,GB,1595085966,72,50.93,-0.39,73.0,20.8
Yazman,7,PK,1595085967,20,29.12,71.74,110.48,4.25
Poum,4,NC,1595085967,69,-20.23,164.02,69.98,7.02
Thunder Bay,90,CA,1595085968,93,48.4,-89.32,64.4,5.82
Udachny,90,RU,1595085968,82,66.42,112.4,55.4,4.47
Strezhevoy,85,RU,1595085968,83,60.73,77.59,69.8,6.71
Jauja,43,PE,1595085861,51,-11.78,-75.5,52.68,1.97
Papara,75,BR,1595085969,62,-3.98,-38.73,84.2,16.11
Burnie,100,AU,1595085970,80,-41.07,145.92,51.01,15.01
Dingzhou,100,CN,1595085931,94,38.51,115.0,71.6,4.0
Camocim,9,BR,1595085971,50,-2.9,-40.84,88.74,11.5
Poronaysk,59,RU,1595085810,95,49.22,143.12,59.65,3.18
Proletarsk,10,RU,1595085972,43,46.7,41.72,84.74,7.34
Beloha,19,MG,1595085972,71,-25.17,45.05,65.23,9.78
Mandalgovi,55,MN,1595085972,47,45.76,106.27,61.59,6.96
